20240922_0719 | w2v_20240921_1_mc5_w44_v500 	| euc 	| pearsonr | -0.0081 | 0.0 | 31.39s 
20240922_0719 | w2v_20240921_1_mc5_w44_v500 	| euc 	| spearmanr | -0.0047 | 0.0 | 32.31s 
20240922_0719 | w2v_20240921_1_mc5_w44_v500 	| cos 	| pearsonr | -0.0297 | 0.0 | 20.14s 
20240922_0719 | w2v_20240921_1_mc5_w44_v500 	| cos 	| spearmanr | -0.0398 | 0.0 | 39.14s 
20240922_0719 | w2v_20240921_1_mc8_w44_v250 	| euc 	| pearsonr | 0.0054 | 0.0 | 13.98s 
20240922_0719 | w2v_20240921_1_mc8_w44_v250 	| euc 	| spearmanr | 0.0119 | 0.0 | 28.71s 
20240922_0719 | w2v_20240921_1_mc8_w44_v250 	| cos 	| pearsonr | -0.0262 | 0.0 | 10.56s 
20240922_0719 | w2v_20240921_1_mc8_w44_v250 	| cos 	| spearmanr | -0.0334 | 0.0 | 30.86s 
20240922_0719 | w2v_20240921_0_mc8_w13_v100 	| euc 	| pearsonr | 0.053 | 0.0 | 11.34s 
20240922_0719 | w2v_20240921_0_mc8_w13_v100 	| euc 	| spearmanr | 0.0613 | 0.0 | 32.35s 
20240922_0719 | w2v_20240921_0_mc8_w13_v100 	| cos 	| pearsonr | 0.0188 | 0.0 | 17.16s 
20240922_0719 | w2v_20240921_0_mc8_w13_v100 	| cos 	| spearmanr | 0.0202 | 0.0 | 31.49s 
20240922_0719 | w2v_20240921_1_mc3_w13_v250 	| euc 	| pearsonr | 0.0086 | 0.0 | 29.36s 
20240922_0719 | w2v_20240921_1_mc3_w13_v250 	| euc 	| spearmanr | 0.0151 | 0.0 | 36.36s 
20240922_0719 | w2v_20240921_1_mc3_w13_v250 	| cos 	| pearsonr | -0.0154 | 0.0 | 19.18s 
20240922_0719 | w2v_20240921_1_mc3_w13_v250 	| cos 	| spearmanr | -0.0242 | 0.0 | 40.87s 
20240922_0719 | w2v_20240921_0_mc3_w44_v100 	| euc 	| pearsonr | 0.0588 | 0.0 | 18.91s 
20240922_0719 | w2v_20240921_0_mc3_w44_v100 	| euc 	| spearmanr | 0.0646 | 0.0 | 36.12s 
20240922_0719 | w2v_20240921_0_mc3_w44_v100 	| cos 	| pearsonr | 0.0075 | 0.0 | 19.66s 
20240922_0719 | w2v_20240921_0_mc3_w44_v100 	| cos 	| spearmanr | 0.0071 | 0.0 | 43.63s 
