20240917_1900 | w2v_20240912_skip_mc8_w13_v50 	| euc 	| 0.9463 	|  0.0537 | 0.0196 | 30.82s 
20240917_1900 | w2v_20240912_skip_mc8_w13_v50 	| cos 	| 0.9772 	|  0.0228 | 0.0196 | 26.47s 
20240917_1900 | w2v_20240911_sg1_mc1_w8_v25 	| euc 	| 0.9464 	|  0.0536 | 0.0196 | 49.59s 
20240917_1900 | w2v_20240911_sg1_mc1_w8_v25 	| cos 	| 0.9777 	|  0.0223 | 0.0196 | 60.14s 
20240917_1900 | w2v_20240912_skip_mc8_w13_v5 	| euc 	| 0.9425 	|  0.0575 | 0.0196 | 36.73s 
20240917_1900 | w2v_20240912_skip_mc8_w13_v5 	| cos 	| 0.9502 	|  0.0498 | 0.0196 | 20.09s 
20240917_1900 | w2v_20240910_sg1_mc8_w44_v5 	| euc 	| 0.9573 	|  0.0427 | 0.0196 | 24.48s 
20240917_1900 | w2v_20240910_sg1_mc8_w44_v5 	| cos 	| 0.9568 	|  0.0432 | 0.0196 | 18.15s 
20240917_1900 | w2v_20240912_skip_mc8_w21_v10 	| euc 	| 0.9541 	|  0.0459 | 0.0196 | 23.93s 
20240917_1900 | w2v_20240912_skip_mc8_w21_v10 	| cos 	| 0.9697 	|  0.0303 | 0.0196 | 27.29s 
20240917_1900 | w2v_20240911_skip_mc5_w3_v5 	| euc 	| 0.9638 	|  0.0362 | 0.0196 | 29.16s 
20240917_1900 | w2v_20240911_skip_mc5_w3_v5 	| cos 	| 0.9529 	|  0.0471 | 0.0196 | 26.92s 
20240917_1900 | w2v_20240910_sg1_mc3_w5_v50 	| euc 	| 0.9568 	|  0.0432 | 0.0196 | 30.88s 
20240917_1900 | w2v_20240910_sg1_mc3_w5_v50 	| cos 	| 0.9734 	|  0.0266 | 0.0196 | 37.36s 
20240917_1900 | w2v_20240911_skip_mc5_w8_v50 	| euc 	| 0.949 	|  0.051 | 0.0196 | 27.16s 
20240917_1900 | w2v_20240911_skip_mc5_w8_v50 	| cos 	| 0.9746 	|  0.0254 | 0.0196 | 28.69s 
20240917_1900 | w2v_20240912_skip_mc8_w5_v5 	| euc 	| 0.9559 	|  0.0441 | 0.0196 | 25.58s 
20240917_1900 | w2v_20240912_skip_mc8_w5_v5 	| cos 	| 0.9525 	|  0.0475 | 0.0196 | 22.46s 
20240917_1900 | w2v_20240911_skip_mc5_w21_v50 	| euc 	| 0.943 	|  0.057 | 0.0196 | 23.64s 
20240917_1900 | w2v_20240911_skip_mc5_w21_v50 	| cos 	| 0.9787 	|  0.0213 | 0.0196 | 29.41s 
20240917_1900 | w2v_20240910_sg1_mc8_w44_v10 	| euc 	| 0.9505 	|  0.0495 | 0.0196 | 21.23s 
20240917_1900 | w2v_20240910_sg1_mc8_w44_v10 	| cos 	| 0.9689 	|  0.0311 | 0.0196 | 24.41s 
20240917_1900 | w2v_20240911_sg1_mc1_w5_v25 	| euc 	| 0.9477 	|  0.0523 | 0.0196 | 56.38s 
20240917_1900 | w2v_20240911_sg1_mc1_w5_v25 	| cos 	| 0.9738 	|  0.0262 | 0.0196 | 65.92s 
20240917_1900 | w2v_20240911_skip_mc5_w13_v10 	| euc 	| 0.9563 	|  0.0437 | 0.0196 | 41.97s 
20240917_1900 | w2v_20240911_skip_mc5_w13_v10 	| cos 	| 0.9625 	|  0.0375 | 0.0196 | 26.84s 
20240917_1900 | w2v_20240911_skip_mc5_w8_v5 	| euc 	| 0.9479 	|  0.0521 | 0.0196 | 21.83s 
20240917_1900 | w2v_20240911_skip_mc5_w8_v5 	| cos 	| 0.9521 	|  0.0479 | 0.0196 | 26.56s 
20240917_1900 | w2v_20240910_sg1_mc3_w13_v25 	| euc 	| 0.9386 	|  0.0614 | 0.0196 | 26.46s 
20240917_1900 | w2v_20240910_sg1_mc3_w13_v25 	| cos 	| 0.964 	|  0.036 | 0.0196 | 34.48s 
20240917_1900 | w2v_20240911_skip_mc5_w5_v50 	| euc 	| 0.9545 	|  0.0455 | 0.0196 | 32.61s 
20240917_1900 | w2v_20240911_skip_mc5_w5_v50 	| cos 	| 0.974 	|  0.026 | 0.0196 | 33.33s 
20240917_1900 | w2v_20240910_sg1_mc3_w8_v50 	| euc 	| 0.9522 	|  0.0478 | 0.0196 | 32.64s 
20240917_1900 | w2v_20240910_sg1_mc3_w8_v50 	| cos 	| 0.9757 	|  0.0243 | 0.0196 | 31.4s 
20240917_1900 | w2v_20240911_sg1_mc1_w21_v5 	| euc 	| 0.9582 	|  0.0418 | 0.0196 | 57.83s 
20240917_1900 | w2v_20240911_sg1_mc1_w21_v5 	| cos 	| 0.982 	|  0.018 | 0.0196 | 63.29s 
20240917_1900 | w2v_20240911_skip_mc8_w3_v10 	| euc 	| 0.9653 	|  0.0347 | 0.0196 | 33.27s 
20240917_1900 | w2v_20240911_skip_mc8_w3_v10 	| cos 	| 0.9549 	|  0.0451 | 0.0196 | 23.87s 
