20240917_2352 | w2v_20240912_skip_mc8_w13_v50 	| euc 	| pearsonr | 0.0537 | 0.0 | 20.92s 
20240917_2352 | w2v_20240912_skip_mc8_w13_v50 	| euc 	| spearmanr | 0.0757 | 0.0 | 33.01s 
20240917_2352 | w2v_20240912_skip_mc8_w13_v50 	| cos 	| pearsonr | 0.0228 | 0.0 | 16.12s 
20240917_2352 | w2v_20240912_skip_mc8_w13_v50 	| cos 	| spearmanr | 0.026 | 0.0 | 36.33s 
20240917_2352 | w2v_20240911_sg1_mc1_w8_v25 	| euc 	| pearsonr | 0.0536 | 0.0 | 39.85s 
20240917_2352 | w2v_20240911_sg1_mc1_w8_v25 	| euc 	| spearmanr | 0.0764 | 0.0 | 47.61s 
20240917_2352 | w2v_20240911_sg1_mc1_w8_v25 	| cos 	| pearsonr | 0.0223 | 0.0 | 46.85s 
20240917_2352 | w2v_20240911_sg1_mc1_w8_v25 	| cos 	| spearmanr | 0.0273 | 0.0 | 57.93s 
20240917_2352 | w2v_20240912_skip_mc8_w13_v5 	| euc 	| pearsonr | 0.0575 | 0.0 | 20.4s 
20240917_2352 | w2v_20240912_skip_mc8_w13_v5 	| euc 	| spearmanr | 0.0725 | 0.0 | 33.94s 
20240917_2352 | w2v_20240912_skip_mc8_w13_v5 	| cos 	| pearsonr | 0.0498 | 0.0 | 15.68s 
20240917_2352 | w2v_20240912_skip_mc8_w13_v5 	| cos 	| spearmanr | 0.0538 | 0.0 | 32.42s 
20240917_2352 | w2v_20240910_sg1_mc8_w44_v5 	| euc 	| pearsonr | 0.0427 | 0.0 | 16.81s 
20240917_2352 | w2v_20240910_sg1_mc8_w44_v5 	| euc 	| spearmanr | 0.0511 | 0.0 | 33.21s 
20240917_2352 | w2v_20240910_sg1_mc8_w44_v5 	| cos 	| pearsonr | 0.0432 | 0.0 | 14.11s 
20240917_2352 | w2v_20240910_sg1_mc8_w44_v5 	| cos 	| spearmanr | 0.0471 | 0.0 | 31.08s 
20240917_2352 | w2v_20240912_skip_mc8_w21_v10 	| euc 	| pearsonr | 0.0459 | 0.0 | 17.32s 
20240917_2352 | w2v_20240912_skip_mc8_w21_v10 	| euc 	| spearmanr | 0.0636 | 0.0 | 34.37s 
20240917_2352 | w2v_20240912_skip_mc8_w21_v10 	| cos 	| pearsonr | 0.0303 | 0.0 | 17.74s 
20240917_2352 | w2v_20240912_skip_mc8_w21_v10 	| cos 	| spearmanr | 0.033 | 0.0 | 33.75s 
20240917_2352 | w2v_20240911_skip_mc5_w3_v5 	| euc 	| pearsonr | 0.0362 | 0.0 | 18.28s 
20240917_2352 | w2v_20240911_skip_mc5_w3_v5 	| euc 	| spearmanr | 0.0459 | 0.0 | 32.39s 
20240917_2352 | w2v_20240911_skip_mc5_w3_v5 	| cos 	| pearsonr | 0.0471 | 0.0 | 19.54s 
20240917_2352 | w2v_20240911_skip_mc5_w3_v5 	| cos 	| spearmanr | 0.0517 | 0.0 | 38.63s 
