word 	|	 label 1 	|	 label 2 
GAP	|	76	|	 - 
START_GAP	|	76	|	 - 
STOP_GAP	|	76	|	 - 
DISORDER	|	76	|	 - 
PF00096	|	91	|	38
PF00400	|	34	|	89
PF00069	|	76	|	9
PF00041	|	97	|	84
PF12796	|	45	|	45
PF07679	|	12	|	60
PF00560	|	31	|	91
PF00076	|	26	|	80
PF00028	|	4	|	25
PF13855	|	31	|	91
PF00115	|	47	|	19
PF01535	|	98	|	25
PF13041	|	20	|	25
PF00153	|	83	|	12
PF07714	|	58	|	96
PF07690	|	60	|	14
PF00435	|	48	|	42
PF00168	|	96	|	54
PF00067	|	60	|	14
PF00005	|	78	|	12
PF00595	|	35	|	25
PF00008	|	68	|	18
PF07645	|	81	|	33
PF13516	|	57	|	10
PF00271	|	17	|	31
PF00001	|	95	|	46
PF00057	|	81	|	27
PF00084	|	81	|	43
PF00520	|	78	|	44
PF00169	|	35	|	77
PF00053	|	4	|	67
PF00023	|	45	|	45
PF01391	|	97	|	84
PF00078	|	71	|	32
PF01344	|	37	|	10
PF13499	|	59	|	74
PF00270	|	17	|	31
PF00004	|	36	|	68
PF00106	|	60	|	81
PF07686	|	71	|	32
PF00083	|	60	|	14
PF00412	|	58	|	61
PF00651	|	32	|	38
PF00612	|	33	|	25
PF00046	|	39	|	58
PF00361	|	47	|	19
PF00071	|	59	|	35
PF00514	|	13	|	17
PF00249	|	90	|	47
PF00415	|	13	|	10
PF00172	|	60	|	38
PF08238	|	24	|	48
PF00018	|	35	|	71
PF00880	|	48	|	79
PF02493	|	72	|	85
PF00431	|	81	|	26
PF00664	|	78	|	12
PF00013	|	88	|	23
PF00501	|	10	|	41
PF00307	|	35	|	61
PF00089	|	67	|	26
PF04082	|	60	|	38
PF00010	|	11	|	78
PF13639	|	43	|	3
PF00033	|	47	|	34
PF00059	|	67	|	26
PF13181	|	24	|	48
PF00090	|	81	|	43
PF12937	|	57	|	10
PF00098	|	71	|	90
PF00058	|	81	|	27
PF13853	|	94	|	19
PF00628	|	43	|	94
PF02210	|	31	|	88
PF00226	|	90	|	74
PF00630	|	14	|	34
PF00032	|	47	|	36
PF00397	|	38	|	92
PF00225	|	32	|	5
PF00017	|	72	|	96
PF00621	|	35	|	77
PF00439	|	55	|	94
PF00646	|	57	|	10
PF00806	|	69	|	95
PF00092	|	47	|	50
PF00443	|	72	|	57
PF00620	|	35	|	77
PF13912	|	91	|	38
PF00176	|	17	|	73
PF00102	|	97	|	84
PF00149	|	18	|	74
PF00085	|	54	|	87
PF08240	|	73	|	41
PF00931	|	99	|	17
PF00622	|	92	|	44
PF12661	|	81	|	18
PF00063	|	33	|	25
PF00009	|	80	|	86
PF00130	|	79	|	33
PF00536	|	53	|	61
PF17921	|	71	|	32
PF00530	|	81	|	26
PF00856	|	19	|	16
PF07727	|	71	|	17
PF00107	|	73	|	14
PF17862	|	36	|	68
PF08263	|	31	|	17
PF14604	|	58	|	96
PF00566	|	75	|	71
PF00027	|	78	|	44
PF00240	|	37	|	57
PF00561	|	60	|	14
PF00642	|	69	|	11
PF01094	|	58	|	40
PF00665	|	71	|	32
PF13637	|	45	|	45
PF00626	|	20	|	98
PF00248	|	1	|	20
PF01436	|	92	|	3
PF00179	|	1	|	72
PF00191	|	53	|	49
PF00681	|	22	|	40
PF00505	|	99	|	61
PF12874	|	91	|	11
PF00787	|	93	|	77
PF07653	|	45	|	45
PF01833	|	81	|	96
PF00643	|	92	|	3
PF00481	|	99	|	5
PF00571	|	33	|	25
PF01494	|	60	|	14
PF00201	|	66	|	46
PF01490	|	32	|	81
PF01061	|	78	|	12
PF00171	|	70	|	12
PF00550	|	73	|	41
PF00135	|	60	|	14
PF03732	|	71	|	32
PF07654	|	30	|	37
PF00373	|	35	|	25
PF01824	|	47	|	34
PF00155	|	59	|	72
PF03372	|	71	|	32
PF00097	|	92	|	3
PF00498	|	93	|	56
PF00012	|	40	|	72
PF03144	|	80	|	86
PF00105	|	29	|	93
PF00583	|	89	|	20
PF02931	|	67	|	46
PF01348	|	47	|	32
PF00082	|	14	|	75
PF00385	|	17	|	73
PF00002	|	64	|	95
PF20684	|	60	|	14
PF01699	|	82	|	74
PF00104	|	29	|	93
PF17919	|	71	|	32
PF00134	|	57	|	10
PF13520	|	0	|	13
PF03171	|	30	|	34
PF07707	|	67	|	26
PF00016	|	30	|	19
PF00632	|	37	|	57
PF07992	|	50	|	28
PF06985	|	60	|	14
PF17917	|	71	|	32
PF02932	|	67	|	46
PF20431	|	75	|	25
PF01363	|	35	|	77
PF12854	|	29	|	36
PF11951	|	60	|	14
PF13193	|	10	|	41
PF01352	|	91	|	38
PF07885	|	78	|	11
PF00045	|	23	|	49
PF02788	|	47	|	19
PF01926	|	53	|	7
PF00022	|	57	|	10
PF05729	|	34	|	89
PF01565	|	68	|	98
PF00170	|	11	|	93
PF00211	|	58	|	27
PF13445	|	92	|	3
PF00160	|	24	|	72
PF07647	|	53	|	61
PF00035	|	17	|	31
PF01554	|	53	|	12
PF01607	|	67	|	26
PF07859	|	73	|	41
PF00782	|	75	|	13
PF00014	|	86	|	16
PF14226	|	30	|	34
PF00847	|	32	|	5
PF00403	|	86	|	61
PF00690	|	29	|	99
PF06444	|	47	|	34
PF00173	|	39	|	0
PF00094	|	81	|	40
PF01370	|	66	|	35
PF13812	|	7	|	25
PF13086	|	84	|	30
PF00112	|	18	|	36
PF13456	|	71	|	32
PF00433	|	79	|	33
PF01412	|	45	|	77
PF07648	|	62	|	93
PF00227	|	82	|	99
PF00625	|	54	|	92
PF00324	|	83	|	64
PF00515	|	24	|	48
PF00093	|	31	|	91
PF00629	|	97	|	26
PF00118	|	69	|	35
PF00615	|	93	|	77
PF05699	|	71	|	32
PF00026	|	60	|	46
PF02469	|	83	|	12
PF12947	|	81	|	11
PF13202	|	59	|	74
PF00637	|	96	|	97
PF01529	|	45	|	45
PF00293	|	1	|	81
PF00038	|	38	|	99
PF00454	|	42	|	68
PF00617	|	35	|	77
PF00350	|	53	|	77
PF00146	|	47	|	19
PF00300	|	75	|	71
PF00116	|	47	|	34
PF01399	|	55	|	64
PF00662	|	98	|	34
PF00047	|	97	|	84
PF00129	|	30	|	34
PF00689	|	29	|	99
PF13765	|	92	|	3
PF00650	|	35	|	84
PF02790	|	47	|	34
PF00335	|	66	|	46
PF00432	|	53	|	36
PF02214	|	78	|	44
PF01477	|	20	|	27
PF12662	|	81	|	26
PF00254	|	24	|	48
PF01753	|	18	|	8
PF01593	|	18	|	20
PF01266	|	68	|	12
PF07732	|	67	|	26
PF00450	|	0	|	81
PF01437	|	81	|	96
PF00125	|	71	|	8
PF00754	|	67	|	26
PF02518	|	46	|	69
PF00250	|	63	|	61
PF00641	|	26	|	55
PF00657	|	60	|	81
PF00743	|	50	|	12
PF00060	|	78	|	40
PF00091	|	30	|	17
PF00025	|	66	|	72
PF00567	|	17	|	31
PF19055	|	78	|	12
PF00999	|	78	|	5
PF00581	|	75	|	84
PF00209	|	94	|	0
PF00003	|	14	|	36
PF02786	|	6	|	70
PF00141	|	59	|	14
PF09380	|	35	|	25
PF00685	|	67	|	74
PF00320	|	90	|	58
PF00732	|	68	|	13
PF00892	|	99	|	12
PF03160	|	8	|	40
PF00704	|	67	|	26
PF02412	|	83	|	64
PF13087	|	84	|	30
PF01602	|	74	|	59
PF00899	|	75	|	25
PF00079	|	94	|	46
PF07699	|	53	|	27
PF02798	|	68	|	63
PF00788	|	35	|	77
PF01826	|	81	|	40
PF00072	|	46	|	69
PF05199	|	68	|	13
PF18052	|	99	|	17
PF00854	|	32	|	5
PF09379	|	35	|	25
PF00233	|	46	|	69
PF00531	|	45	|	45
PF01839	|	14	|	36
PF01582	|	99	|	17
PF02373	|	24	|	94
PF02893	|	53	|	77
PF00640	|	75	|	71
PF07731	|	67	|	26
PF01553	|	18	|	81
PF12799	|	41	|	91
PF02362	|	99	|	17
PF00569	|	55	|	47
PF12697	|	60	|	14
PF08742	|	81	|	40
PF08241	|	59	|	72
PF00030	|	56	|	38
PF01421	|	86	|	87
PF01403	|	81	|	96
PF07717	|	17	|	31
PF00175	|	4	|	28
PF02902	|	32	|	24
PF00319	|	32	|	5
PF00246	|	67	|	26
PF00668	|	73	|	41
PF07974	|	62	|	40
PF13517	|	7	|	36
PF01425	|	60	|	14
PF01585	|	26	|	80
PF02770	|	68	|	97
PF01423	|	66	|	72
PF00006	|	30	|	37
PF00683	|	81	|	54
PF00147	|	97	|	84
PF01485	|	92	|	83
PF00230	|	66	|	5
PF16212	|	8	|	36
PF00855	|	19	|	92
PF00533	|	85	|	56
PF03810	|	77	|	7
PF07004	|	53	|	49
PF00043	|	68	|	63
PF00119	|	47	|	19
PF04998	|	80	|	64
PF04564	|	34	|	3
PF00188	|	67	|	26
PF00378	|	59	|	0
PF13359	|	71	|	32
PF02535	|	56	|	20
PF01657	|	58	|	96
