PF00096 | CL0361
PF00400 | CL0186
PF00069 | CL0016
PF00041 | CL0159
PF12796 | CL0465
PF07679 | CL0159
PF00560 | CL0022
PF00076 | CL0221
PF00028 | CL0159
PF13855 | CL0022
PF00115 | CL0714
PF01535 | CL0020
PF13041 | CL0020
PF07714 | CL0016
PF07690 | CL0015
PF00435 | CL0743
PF00168 | CL0154
PF00005 | CL0023
PF00595 | CL0466
PF00008 | CL0001
PF07645 | CL0001
PF13516 | CL0022
PF00271 | CL0023
PF00001 | CL0192
PF00084 | CL0001
PF00520 | CL0030
PF00169 | CL0266
PF00053 | CL0001
PF00023 | CL0465
PF00078 | CL0027
PF01344 | CL0186
PF13499 | CL0220
PF00270 | CL0023
PF00004 | CL0023
PF00106 | CL0063
PF07686 | CL0159
PF00083 | CL0015
PF00412 | CL0167
PF00651 | CL0033
PF00612 | CL0220
PF00046 | CL0123
PF00361 | CL0425
PF00071 | CL0023
PF00514 | CL0020
PF00249 | CL0123
PF00415 | CL0186
PF08238 | CL0020
PF00018 | CL0010
PF02493 | CL0251
PF00431 | CL0164
PF00664 | CL0241
PF00013 | CL0007
PF00501 | CL0378
PF00307 | CL0188
PF00089 | CL0124
PF04082 | CL0507
PF13639 | CL0229
PF00033 | CL0328
PF00059 | CL0056
PF13181 | CL0020
PF00090 | CL0692
PF12937 | CL0271
PF00098 | CL0511
PF00058 | CL0186
PF13853 | CL0192
PF00628 | CL0229
PF02210 | CL0004
PF00226 | CL0392
PF00630 | CL0159
PF00397 | CL0680
PF00225 | CL0023
PF00017 | CL0541
PF00646 | CL0271
PF00806 | CL0020
PF00092 | CL0128
PF00443 | CL0125
PF00620 | CL0409
PF13912 | CL0361
PF00176 | CL0023
PF00102 | CL0031
PF00149 | CL0163
PF00085 | CL0172
PF08240 | CL0296
PF00931 | CL0023
PF00622 | CL0004
PF12661 | CL0001
PF00063 | CL0023
PF00009 | CL0023
PF00130 | CL0229
PF00536 | CL0003
PF17921 | CL0361
PF00530 | CL0550
PF00856 | CL0489
PF07727 | CL0027
PF00107 | CL0063
PF17862 | CL0671
PF14604 | CL0010
PF00566 | CL0816
PF00027 | CL0029
PF00240 | CL0072
PF00561 | CL0028
PF00642 | CL0537
PF01094 | CL0144
